Estacao,Data,Dia,Mes,Ano,Insolacao,TempMaxima,TempMinima,Temp Comp Media,Umidade Relativa Media,Precipitacao
82191,01/01/2018,1,1,18,5.8,33.5,23.4,27.46,82.75,5.5
82191,02/01/2018,2,1,18,5.3,32.8,23.4,27.18,86,1.3
82191,03/01/2018,3,1,18,6.9,33.5,23.1,27.24,88,1
82191,04/01/2018,4,1,18,6.8,32.1,23.5,27.16,87.75,34.6
82191,05/01/2018,5,1,18,6,32.3,23.9,0,88.25,3.6
82191,06/01/2018,6,1,18,0.9,31.9,23.7,25.8,89.25,16.9
82191,07/01/2018,7,1,18,4.5,32.5,22.5,25.96,78.5,1.2
82191,08/01/2018,8,1,18,2,32.9,23.5,26.68,83.5,1
82191,09/01/2018,9,1,18,1.2,31.5,23.1,25.4,91.75,0
82191,10/01/2018,10,1,18,0.3,28.1,23.1,24.8,85.75,20.3
82191,11/01/2018,11,1,18,6.9,32.9,22.7,27.08,81.75,0.9
82191,12/01/2018,12,1,18,7.3,34,22.2,26,80,1.4
82191,13/01/2018,13,1,18,5.8,31.7,22.7,26.24,86,1.1
82191,14/01/2018,14,1,18,7.8,33.3,22.5,26.28,83,2.6
82191,15/01/2018,15,1,18,5.5,32.9,23.1,26.84,90.5,1
82191,16/01/2018,16,1,18,6.3,33.9,22.5,27.12,86.25,24.8
82191,17/01/2018,17,1,18,8.2,34.5,22.7,26.96,85,11
82191,18/01/2018,18,1,18,2.8,32.2,23.4,25.92,93.25,26.8
82191,19/01/2018,19,1,18,4,31.9,22.5,26.14,84.5,26
82191,20/01/2018,20,1,18,3,32.2,23.8,26.5,93.25,12
82191,21/01/2018,21,1,18,5.1,32.6,22.7,26.54,92.25,14.6
82191,22/01/2018,22,1,18,6.8,33,23.5,27.18,89.75,9.4
82191,23/01/2018,23,1,18,8.2,34.1,24.1,27.24,84,4.1
82191,24/01/2018,24,1,18,2.8,31.6,22.6,25.1,91.5,20
82191,25/01/2018,25,1,18,0.5,29.5,22.9,25.36,89.75,46.8
82191,26/01/2018,26,1,18,2.9,32,23.3,26.7,89.5,0
82191,27/01/2018,27,1,18,4.2,33.5,24.2,26.74,93.25,0.8
82191,28/01/2018,28,1,18,3.5,32.4,23.3,25.5,91.25,15.8
82191,29/01/2018,29,1,18,4.8,31.9,22.9,26.68,86.25,40.6
82191,30/01/2018,30,1,18,5.5,32.3,23.5,26.24,92.25,0
82191,31/01/2018,31,1,18,5.4,33,23.1,26.78,93.5,17.7
82191,01/02/2018,1,2,18,5.7,33.3,24.3,27.12,88.5,5.7
82191,02/02/2018,2,2,18,4.4,32.3,23.7,26.32,90.25,4.2
82191,03/02/2018,3,2,18,0,26.6,23.9,24.76,97.75,25.3
82191,04/02/2018,4,2,18,0,27.5,23.1,24.84,97.25,132.3
82191,05/02/2018,5,2,18,0.6,29.3,23.7,25.12,97,26.8
82191,06/02/2018,6,2,18,2.3,30,23.8,25.64,93.75,38.1
82191,07/02/2018,7,2,18,1.7,30.1,23.7,25.32,93.25,21.2
82191,08/02/2018,8,2,18,0.2,29.7,23.9,25.64,94,80.2
82191,09/02/2018,9,2,18,1.2,30.3,23.7,26.24,86,6.4
82191,10/02/2018,10,2,18,6.7,32.2,23.7,27.22,82.25,2.6
82191,11/02/2018,11,2,18,7.2,33.4,24,27,80,5.8
82191,12/02/2018,12,2,18,0.5,31.3,23.9,25.96,89,0
82191,13/02/2018,13,2,18,6.4,33,23,25.96,90.5,0
82191,14/02/2018,14,2,18,2.1,29.8,23.7,26.04,88,17.6
82191,15/02/2018,15,2,18,5.5,31.4,23.3,26.86,86.75,3
82191,16/02/2018,16,2,18,8.5,33.9,24.3,27.8,81,4.2
82191,17/02/2018,17,2,18,0,27.8,23.9,25.18,96.25,12.4
82191,18/02/2018,18,2,18,5.6,32.9,23.8,26.98,92.75,20.4
82191,19/02/2018,19,2,18,3.4,32.5,23.4,28.1,76.25,0.4
82191,20/02/2018,20,2,18,0.2,29.2,24.3,25.42,90.25,0.3
82191,21/02/2018,21,2,18,2.7,31.1,23.5,26.08,90.75,30.8
82191,22/02/2018,22,2,18,0.1,28.6,23.2,25.04,97.25,34.5
82191,23/02/2018,23,2,18,2.9,30.5,22.8,25.82,95.25,62.5
82191,24/02/2018,24,2,18,4.7,33.1,23.1,26.84,87,17.2
82191,25/02/2018,25,2,18,1.5,29,23.5,25.36,97.75,5.7
82191,26/02/2018,26,2,18,6.9,33.1,23.3,26.76,83.75,90.7
82191,27/02/2018,27,2,18,1.1,28.9,24.2,26.38,93,0.1
82191,28/02/2018,28,2,18,2.5,30.4,23.7,26.02,91.75,23.2
82191,01/03/2018,1,3,18,5.9,32.2,23.3,26.22,93,24.5
82191,02/03/2018,2,3,18,6.6,33.6,22.9,26.82,85.25,7.9
82191,03/03/2018,3,3,18,9.9,34.2,23.9,27.72,77,0.1
82191,04/03/2018,4,3,18,7.3,34.5,24.1,27.48,89.25,0.1
82191,05/03/2018,5,3,18,5.5,32.9,23.4,26.7,91.25,11
82191,06/03/2018,6,3,18,7,33.7,23.5,27.24,89,24.2
82191,07/03/2018,7,3,18,5.8,31.9,23.3,27.08,86.75,8.2
82191,08/03/2018,8,3,18,5.6,32.3,23.3,26.8,92.25,1.6
82191,09/03/2018,9,3,18,3.8,33.3,23.5,26.96,89.5,20.2
82191,10/03/2018,10,3,18,8.1,32.9,24.1,27,87,0.6
82191,11/03/2018,11,3,18,6.9,34.5,23.5,27.52,88,1.4
82191,12/03/2018,12,3,18,7.3,32.3,24.5,27.4,83.25,22.3
82191,13/03/2018,13,3,18,3.7,32.5,23.9,26.98,91.25,10.6
82191,14/03/2018,14,3,18,2.2,32.7,23.5,26.36,95.5,39.5
82191,15/03/2018,15,3,18,2.9,31.1,22.5,25.96,87,67.6
82191,16/03/2018,16,3,18,3.1,32.8,23.8,27.22,85,1
82191,17/03/2018,17,3,18,8.3,33.3,24.3,27.88,84.5,0
82191,18/03/2018,18,3,18,8.7,32.2,24.1,27.38,85.5,0
82191,19/03/2018,19,3,18,9.3,33.3,24.1,27.6,83.75,1.2
82191,20/03/2018,20,3,18,7.8,33.7,23.7,27.48,87.5,2.8
82191,21/03/2018,21,3,18,6.1,33.9,23.5,26.84,93,6.2
82191,22/03/2018,22,3,18,7.1,33.1,23.1,27.08,88,27.5
82191,23/03/2018,23,3,18,3.6,31.3,23.9,26.32,90,36.9
82191,24/03/2018,24,3,18,6.1,32.3,23.6,26.46,90.75,23.8
82191,25/03/2018,25,3,18,1.7,31.6,23.3,25.38,92,61.2
82191,26/03/2018,26,3,18,2.9,31.8,22.7,26.26,88.5,30.2
82191,27/03/2018,27,3,18,8.6,33.3,24.2,26.9,84.75,0
82191,28/03/2018,28,3,18,5.7,33.5,23.6,26.74,90.25,6.6
82191,29/03/2018,29,3,18,0.3,29.1,24,25.7,95,34.5
82191,30/03/2018,30,3,18,3.8,31.9,23.1,25.88,92,22.8
82191,31/03/2018,31,3,18,8.3,33.1,23.3,26.44,88.25,12.2
82191,01/04/2018,1,4,18,7.1,33.4,23.3,27.06,89.25,26.4
82191,02/04/2018,2,4,18,4.2,32.9,24,26.74,93.5,23.6
82191,03/04/2018,3,4,18,4.9,31.3,23.5,26.48,88.75,11
82191,04/04/2018,4,4,18,3.8,32.1,24.1,26.68,93.25,4.3
82191,05/04/2018,5,4,18,1.6,32,23.9,26.08,92,3.4
82191,06/04/2018,6,4,18,6.6,33.3,23.9,26.7,85.75,14.8
82191,07/04/2018,7,4,18,0,28.6,23.3,25.02,94.75,83.6
82191,08/04/2018,8,4,18,4.7,31.7,23.3,26.32,88.5,1.2
82191,09/04/2018,9,4,18,6.1,33.6,23.7,26.56,92,0.3
82191,10/04/2018,10,4,18,0,29.2,22,24.4,94.5,0
82191,11/04/2018,11,4,18,6.4,32,22.1,25.42,89.75,75.7
82191,12/04/2018,12,4,18,0.9,29.1,23,25,90.75,4.3
82191,13/04/2018,13,4,18,5.9,33.6,22.7,26.86,81.75,4.4
82191,14/04/2018,14,4,18,6,33.1,23.7,27.34,85,0.1
82191,15/04/2018,15,4,18,6.5,33.3,23.7,27.16,83.75,3.3
82191,16/04/2018,16,4,18,3.2,31.3,24,26.68,92.5,4.7
82191,17/04/2018,17,4,18,7.2,34.1,22.8,27.36,80.25,2.9
82191,18/04/2018,18,4,18,6.2,32.2,23.3,26.36,90,2
82191,19/04/2018,19,4,18,6.7,31.4,23.2,26.58,86.75,2.2
82191,20/04/2018,20,4,18,7.2,33.7,23.5,26.88,83,1.1
82191,21/04/2018,21,4,18,9.3,34,23.3,26.92,86.25,3
82191,22/04/2018,22,4,18,3.8,32,23.6,26.64,89.75,5.2
82191,23/04/2018,23,4,18,4.6,31.4,24.1,26.24,92.25,1.9
82191,24/04/2018,24,4,18,4.4,31.7,23.7,26.34,91,4.5
82191,25/04/2018,25,4,18,8.9,33.8,23.3,26.98,86.5,8.5
82191,26/04/2018,26,4,18,7.5,34.5,23.8,27.26,84.5,1.7
82191,27/04/2018,27,4,18,4.7,32.6,23.3,26.44,88.75,1.2
82191,28/04/2018,28,4,18,2.1,29,22.7,26.04,91.75,78
82191,29/04/2018,29,4,18,1.8,30.8,23.3,25.8,94.25,7
82191,30/04/2018,30,4,18,2.9,32.1,23.2,26.9,85.25,26
82191,01/05/2018,1,5,18,2.8,32.5,24.1,26.56,91.75,2.5
82191,02/05/2018,2,5,18,2.6,32.1,23.4,26.02,89.5,1.1
82191,03/05/2018,3,5,18,4.6,31.3,23.4,26.06,90.75,10.2
82191,04/05/2018,4,5,18,6.2,31.5,23.7,26.26,92.25,18.5
82191,05/05/2018,5,5,18,2.1,32.7,23.9,26.54,92.75,5.1
82191,06/05/2018,6,5,18,9.2,33.5,23.7,27.04,82.5,9.3
82191,07/05/2018,7,5,18,4.1,32.6,23.3,25.82,93.25,39.4
82191,08/05/2018,8,5,18,2.2,31.6,23.7,26.34,89.75,93.7
82191,09/05/2018,9,5,18,4.7,32.5,23.3,25.92,89.75,4.2
82191,10/05/2018,10,5,18,4.1,32.6,22.9,26.28,89,40.2
82191,11/05/2018,11,5,18,7.7,33.8,23.7,26.9,85.25,6.7
82191,12/05/2018,12,5,18,5.1,32.4,24.3,26.74,88.75,6
82191,13/05/2018,13,5,18,6.5,33.1,23.8,26.36,85.75,8.4
82191,14/05/2018,14,5,18,4.6,32.6,23.6,25.98,92.75,7.2
82191,15/05/2018,15,5,18,5.1,32.6,23.3,26.76,91.75,5.6
82191,16/05/2018,16,5,18,8.1,33.3,23.3,26.8,83.25,9.6
82191,17/05/2018,17,5,18,8.9,33,23.4,27,84.5,0
82191,18/05/2018,18,5,18,8,33.4,23.4,26.92,84.75,6.4
82191,19/05/2018,19,5,18,7.8,33.6,23.4,27.28,84.75,0.9
82191,20/05/2018,20,5,18,7.8,33.4,23.1,26.98,83.25,2.4
82191,21/05/2018,21,5,18,6.6,33.3,23.6,27.4,84,20.8
82191,22/05/2018,22,5,18,4.3,33.6,24.1,26.98,84.5,0
82191,23/05/2018,23,5,18,4.1,32.3,23.1,26.16,95.75,13.4
82191,24/05/2018,24,5,18,4.2,32.1,22.8,26.18,92.25,23.6
82191,25/05/2018,25,5,18,7.1,33.8,22.9,26.86,82.5,0.4
82191,26/05/2018,26,5,18,3.6,32.9,24,26.34,90.5,2.2
82191,27/05/2018,27,5,18,3.3,31.9,24.1,26.52,86.5,6.6
82191,28/05/2018,28,5,18,2.7,32.5,23.9,26.04,90,49
82191,29/05/2018,29,5,18,6.4,33.6,23.5,26.82,84.5,35.4
82191,30/05/2018,30,5,18,4.7,32.9,23.8,26.54,86.75,3.4
82191,31/05/2018,31,5,18,9,33.9,23.4,27.66,77.25,6
82191,01/06/2018,1,6,18,9.8,33.8,23.7,27.96,76.5,0
82191,02/06/2018,2,6,18,5.7,32.7,24.5,27.12,83.75,0
82191,03/06/2018,3,6,18,9.1,33.5,23.6,27.9,81.25,10.1
82191,04/06/2018,4,6,18,8.4,34.1,23.8,26.96,86.5,0
82191,05/06/2018,5,6,18,3.5,33.1,23.2,26.7,93.5,88.6
82191,06/06/2018,6,6,18,7.1,33,23.1,27.14,86.75,0.8
82191,07/06/2018,7,6,18,8.7,34,24,28.2,75.75,1.9
82191,08/06/2018,8,6,18,7.2,34,24.1,27.02,83.5,0
82191,09/06/2018,9,6,18,9.6,33.2,23.1,27.14,76.75,0.3
82191,10/06/2018,10,6,18,9.6,33.7,23,27.54,74.75,0
82191,11/06/2018,11,6,18,9.5,33.5,23.5,27.8,76.25,0
82191,12/06/2018,12,6,18,10,34.6,22.9,27.66,80,0
82191,13/06/2018,13,6,18,8.4,34.6,23.1,27.74,79.25,0
82191,14/06/2018,14,6,18,8.5,34.9,24.1,28.12,79.25,0
82191,15/06/2018,15,6,18,7.6,34,23.3,27.44,80.5,0
82191,16/06/2018,16,6,18,8.5,34.1,23.5,27.1,85.25,0
82191,17/06/2018,17,6,18,7.4,32,22.6,26.16,85,1.8
82191,18/06/2018,18,6,18,8.5,32.7,22.5,26.56,84.5,8.9
82191,19/06/2018,19,6,18,1.2,30.5,23.5,26.2,85.25,6.8
82191,20/06/2018,20,6,18,9.4,32.9,24.2,27.02,79.75,0
82191,21/06/2018,21,6,18,9.6,33.6,23.1,26.94,78.25,11.4
82191,22/06/2018,22,6,18,9,33.2,22.9,27.12,76.75,0
82191,23/06/2018,23,6,18,8.6,33.7,23.5,27.52,77.5,0.4
82191,24/06/2018,24,6,18,6.8,33.9,24.9,28.1,80.75,0
82191,25/06/2018,25,6,18,9.4,34.3,23.1,27.82,73.5,0
82191,26/06/2018,26,6,18,3.5,33.3,24.1,26.94,85.25,0
82191,27/06/2018,27,6,18,9.6,33.9,23.3,27.72,76.75,1.2
82191,28/06/2018,28,6,18,9.2,34.9,23.5,27.32,78.75,0
82191,29/06/2018,29,6,18,7.9,34.6,23.3,28.06,76.25,0.6
82191,30/06/2018,30,6,18,6,34.7,24.3,27.64,79,0
82191,01/07/2018,1,7,18,9.6,34.7,23.5,28.18,76,0
82191,02/07/2018,2,7,18,9.1,34.8,22.9,28.02,74.75,0
82191,03/07/2018,3,7,18,4.7,34.3,23.5,26.52,85,7.4
82191,04/07/2018,4,7,18,2.1,31.9,23.5,26.2,85,3.8
82191,05/07/2018,5,7,18,5.3,33.4,22.7,26.1,86,6.7
82191,06/07/2018,6,7,18,8.9,34.1,23.7,27.84,75.5,2.4
82191,07/07/2018,7,7,18,5.8,32.7,22.7,26.92,81.25,0
82191,08/07/2018,8,7,18,10.1,33.3,23.5,27.88,79.75,0.4
82191,09/07/2018,9,7,18,8.5,34.9,23.7,27.74,77.5,0.2
82191,10/07/2018,10,7,18,3.2,32.2,24.3,26.94,85.5,0.1
82191,11/07/2018,11,7,18,8.1,32.9,22.3,27.08,76,0
82191,12/07/2018,12,7,18,9.9,32.9,22.1,27.04,78.75,0
82191,13/07/2018,13,7,18,9,33.8,22.4,25.78,85,0
82191,14/07/2018,14,7,18,4.8,32.5,22.8,26.06,90,51.1
82191,15/07/2018,15,7,18,8.6,33.5,23,27.24,79.75,5.6
82191,16/07/2018,16,7,18,9.5,33.9,23.6,27.38,81.75,0
82191,17/07/2018,17,7,18,8.9,33.4,23.2,26.76,85,3.7
82191,18/07/2018,18,7,18,8.5,32.9,23,26.94,82,10.4
82191,19/07/2018,19,7,18,9.5,34.4,22.6,27.68,78.5,0.2
82191,20/07/2018,20,7,18,9.3,34.1,23.7,28.04,78.25,0
82191,21/07/2018,21,7,18,9.6,35.1,23.3,28.46,75,0
82191,22/07/2018,22,7,18,9.4,34.8,23.6,27.84,77.75,0
82191,23/07/2018,23,7,18,9.1,34.1,24.2,27.82,81.5,17.1
82191,24/07/2018,24,7,18,2.6,32.9,24.7,26.68,88.25,2.1
82191,25/07/2018,25,7,18,9.5,33.6,23.1,27.5,76.75,0
82191,26/07/2018,26,7,18,9.2,33.3,23.4,27.4,76.25,0
82191,27/07/2018,27,7,18,7.1,33.4,24.1,27.26,82.5,0
82191,28/07/2018,28,7,18,8,33.6,22.6,26.48,84.5,7.8
82191,29/07/2018,29,7,18,8.6,33.7,23,26.76,85.75,11.1
82191,30/07/2018,30,7,18,6.7,32.3,23.7,26.76,87.25,0
82191,31/07/2018,31,7,18,9.5,33.6,23,27.44,78.5,4.9
82191,01/08/2018,1,8,18,9,33.3,22.7,26.48,85.75,0
82191,02/08/2018,2,8,18,8.2,33.5,23.7,27.16,83.5,19.4
82191,03/08/2018,3,8,18,2.8,31.1,23.3,25.56,93.75,0
82191,04/08/2018,4,8,18,8.4,33.3,22.7,26.12,86,22.4
82191,05/08/2018,5,8,18,6.7,33.3,22.2,25.84,88,15.8
82191,06/08/2018,6,8,18,8.1,33.9,23.1,27.04,81.5,8.6
82191,07/08/2018,7,8,18,8.1,33.7,23.9,27.4,84,0.4
82191,08/08/2018,8,8,18,0,33.8,23.5,26.6,82.25,2.2
82191,09/08/2018,9,8,18,5.9,33.2,22.7,25.74,89.5,14.5
82191,10/08/2018,10,8,18,6.1,34.1,22.2,25.9,89.5,11
82191,11/08/2018,11,8,18,7.8,33.6,23.1,26.88,86.25,2
82191,12/08/2018,12,8,18,8.7,33.7,23.1,27.72,76.75,0
82191,13/08/2018,13,8,18,9.4,33.5,22.8,27.26,77.25,0
82191,14/08/2018,14,8,18,9.7,33.6,22.5,27.36,75.25,0
82191,15/08/2018,15,8,18,9.5,33.7,22.5,26.6,82.75,0
82191,16/08/2018,16,8,18,7.2,33.3,22.1,26.44,85.5,14.2
82191,17/08/2018,17,8,18,7.9,33.7,22.1,26.6,81,2.5
82191,18/08/2018,18,8,18,7.5,33.4,23.8,26.56,85.5,2.8
82191,19/08/2018,19,8,18,9,33.1,23.5,27.08,79.5,14
82191,20/08/2018,20,8,18,8.7,33.5,23.1,27.2,78.75,0
82191,21/08/2018,21,8,18,9.4,33.4,22.2,26.7,83.5,0
82191,22/08/2018,22,8,18,0.9,34,22.5,27.18,79.5,6.8
82191,23/08/2018,23,8,18,8.1,33.7,22.9,26.32,85.25,0
82191,24/08/2018,24,8,18,8.2,33.5,22.9,26.26,87.25,6.2
82191,25/08/2018,25,8,18,7.1,33.1,23.1,26.28,87.5,13.7
82191,26/08/2018,26,8,18,8.9,33.5,22.9,27.12,82,35
82191,27/08/2018,27,8,18,7.7,33.1,23.4,27.22,85.75,0
82191,28/08/2018,28,8,18,7.3,33.7,23.3,26.96,86,0.4
82191,29/08/2018,29,8,18,8.5,34.1,22.4,26.64,84,0
82191,30/08/2018,30,8,18,6.8,34.1,22.7,27.32,78.75,0.6
82191,31/08/2018,31,8,18,8.1,34.9,23.6,27.48,81.25,0
82191,01/09/2018,1,9,18,8.9,34.5,23.1,27.98,77,0
82191,02/09/2018,2,9,18,9.4,34.7,23.7,27.64,85.5,0
